channel,level,correction,n,meas_succ_%,gt_succ_%,mean_residual_mm,mean_gt_residual_mm,mean_iters,mean_time_s,abort
d1,weak,off,8,0.0,0.0,9.836,10.000,1.00,0.101,0
d1,weak,on,8,100.0,0.0,0.381,0.607,2.00,0.194,0
d1,med,off,8,0.0,0.0,9.836,10.000,1.00,0.101,0
d1,med,on,8,100.0,0.0,0.381,0.607,2.00,0.195,0
d1,strong,off,8,0.0,0.0,9.836,10.000,1.00,0.105,0
d1,strong,on,8,100.0,0.0,0.381,0.607,2.00,0.198,0
d2,weak,off,8,0.0,0.0,9.836,10.000,1.00,0.162,0
d2,weak,on,8,100.0,100.0,0.381,0.173,3.00,0.457,0
d2,med,off,8,0.0,0.0,9.836,10.000,1.00,0.203,0
d2,med,on,8,100.0,100.0,0.348,0.180,3.75,0.734,0
d2,strong,off,8,0.0,0.0,9.836,10.000,1.00,0.195,0
d2,strong,on,8,75.0,37.5,0.501,0.489,5.50,1.075,0
d3,weak,off,8,0.0,0.0,9.115,10.000,1.00,0.064,0
d3,weak,on,8,100.0,12.5,0.296,1.803,3.00,0.179,0
d3,med,off,8,0.0,0.0,9.366,10.000,1.00,0.067,0
d3,med,on,8,100.0,12.5,0.341,5.688,4.25,0.267,0
d3,strong,off,8,0.0,0.0,12.850,10.000,1.00,0.065,0
d3,strong,on,8,100.0,12.5,0.296,11.623,3.50,0.213,0
none,off,off,8,0.0,0.0,9.836,10.000,1.00,0.077,0
none,off,on,8,100.0,100.0,0.381,0.173,3.00,0.230,0
